Graph: n50-1 | Drawing: A | Stress: 0.4 | Size: 50 | Path: 27 -> 44 (Length: 2)
Graph: n50-1 | Drawing: B | Stress: 0.4 | Size: 50 | Path: 27 -> 44 (Length: 2)
Graph: n50-1 | Drawing: C | Stress: 0.4 | Size: 50 | Path: 27 -> 44 (Length: 2)
Graph: n50-1 | Drawing: A | Stress: 0.45 | Size: 50 | Path: 28 -> 29 (Length: 3)
Graph: n50-1 | Drawing: B | Stress: 0.45 | Size: 50 | Path: 28 -> 29 (Length: 3)
Graph: n50-1 | Drawing: C | Stress: 0.45 | Size: 50 | Path: 28 -> 29 (Length: 3)
Graph: n50-1 | Drawing: A | Stress: 0.5 | Size: 50 | Path: 35 -> 38 (Length: 4)
Graph: n50-1 | Drawing: B | Stress: 0.5 | Size: 50 | Path: 35 -> 38 (Length: 4)
Graph: n50-1 | Drawing: C | Stress: 0.5 | Size: 50 | Path: 35 -> 38 (Length: 4)
Graph: n50-1 | Drawing: A | Stress: 0.55 | Size: 50 | Path: 4 -> 9 (Length: 5)
Graph: n50-1 | Drawing: B | Stress: 0.55 | Size: 50 | Path: 4 -> 9 (Length: 5)
Graph: n50-1 | Drawing: C | Stress: 0.55 | Size: 50 | Path: 4 -> 9 (Length: 5)
Graph: n50-1 | Drawing: A | Stress: 0.6 | Size: 50 | Path: 14 -> 44 (Length: 2)
Graph: n50-1 | Drawing: B | Stress: 0.6 | Size: 50 | Path: 14 -> 44 (Length: 2)
Graph: n50-1 | Drawing: C | Stress: 0.6 | Size: 50 | Path: 14 -> 44 (Length: 2)
Graph: n50-1 | Drawing: A | Stress: 0.65 | Size: 50 | Path: 4 -> 28 (Length: 3)
Graph: n50-1 | Drawing: B | Stress: 0.65 | Size: 50 | Path: 4 -> 28 (Length: 3)
Graph: n50-1 | Drawing: C | Stress: 0.65 | Size: 50 | Path: 4 -> 28 (Length: 3)
Graph: n50-1 | Drawing: A | Stress: 0.7 | Size: 50 | Path: 24 -> 38 (Length: 4)
Graph: n50-1 | Drawing: B | Stress: 0.7 | Size: 50 | Path: 24 -> 38 (Length: 4)
Graph: n50-1 | Drawing: C | Stress: 0.7 | Size: 50 | Path: 24 -> 38 (Length: 4)
Graph: n50-1 | Drawing: A | Stress: 0.75 | Size: 50 | Path: 25 -> 28 (Length: 5)
Graph: n50-1 | Drawing: B | Stress: 0.75 | Size: 50 | Path: 25 -> 28 (Length: 5)
Graph: n50-1 | Drawing: C | Stress: 0.75 | Size: 50 | Path: 25 -> 28 (Length: 5)
Graph: n50-1 | Drawing: A | Stress: 0.8 | Size: 50 | Path: 31 -> 45 (Length: 2)
Graph: n50-1 | Drawing: B | Stress: 0.8 | Size: 50 | Path: 31 -> 45 (Length: 2)
Graph: n50-1 | Drawing: C | Stress: 0.8 | Size: 50 | Path: 31 -> 45 (Length: 2)
