Graph: n25-1 | Drawing: A | Stress: 0.4 | Size: 25 | Path: 0 -> 7 (Length: 2)
Graph: n25-1 | Drawing: B | Stress: 0.4 | Size: 25 | Path: 0 -> 7 (Length: 2)
Graph: n25-1 | Drawing: C | Stress: 0.4 | Size: 25 | Path: 0 -> 7 (Length: 2)
Graph: n25-1 | Drawing: A | Stress: 0.45 | Size: 25 | Path: 9 -> 20 (Length: 3)
Graph: n25-1 | Drawing: B | Stress: 0.45 | Size: 25 | Path: 9 -> 20 (Length: 3)
Graph: n25-1 | Drawing: C | Stress: 0.45 | Size: 25 | Path: 9 -> 20 (Length: 3)
Graph: n25-1 | Drawing: A | Stress: 0.5 | Size: 25 | Path: 12 -> 13 (Length: 4)
Graph: n25-1 | Drawing: B | Stress: 0.5 | Size: 25 | Path: 12 -> 13 (Length: 4)
Graph: n25-1 | Drawing: C | Stress: 0.5 | Size: 25 | Path: 12 -> 13 (Length: 4)
Graph: n25-1 | Drawing: A | Stress: 0.55 | Size: 25 | Path: 4 -> 9 (Length: 5)
Graph: n25-1 | Drawing: B | Stress: 0.55 | Size: 25 | Path: 4 -> 9 (Length: 5)
Graph: n25-1 | Drawing: C | Stress: 0.55 | Size: 25 | Path: 4 -> 9 (Length: 5)
Graph: n25-1 | Drawing: A | Stress: 0.6 | Size: 25 | Path: 14 -> 19 (Length: 2)
Graph: n25-1 | Drawing: B | Stress: 0.6 | Size: 25 | Path: 14 -> 19 (Length: 2)
Graph: n25-1 | Drawing: C | Stress: 0.6 | Size: 25 | Path: 14 -> 19 (Length: 2)
Graph: n25-1 | Drawing: A | Stress: 0.65 | Size: 25 | Path: 11 -> 24 (Length: 3)
Graph: n25-1 | Drawing: B | Stress: 0.65 | Size: 25 | Path: 11 -> 24 (Length: 3)
Graph: n25-1 | Drawing: C | Stress: 0.65 | Size: 25 | Path: 11 -> 24 (Length: 3)
Graph: n25-1 | Drawing: A | Stress: 0.7 | Size: 25 | Path: 2 -> 23 (Length: 4)
Graph: n25-1 | Drawing: B | Stress: 0.7 | Size: 25 | Path: 2 -> 23 (Length: 4)
Graph: n25-1 | Drawing: C | Stress: 0.7 | Size: 25 | Path: 2 -> 23 (Length: 4)
Graph: n25-1 | Drawing: A | Stress: 0.75 | Size: 25 | Path: 9 -> 11 (Length: 5)
Graph: n25-1 | Drawing: B | Stress: 0.75 | Size: 25 | Path: 9 -> 11 (Length: 5)
Graph: n25-1 | Drawing: C | Stress: 0.75 | Size: 25 | Path: 9 -> 11 (Length: 5)
Graph: n25-1 | Drawing: A | Stress: 0.8 | Size: 25 | Path: 17 -> 18 (Length: 2)
Graph: n25-1 | Drawing: B | Stress: 0.8 | Size: 25 | Path: 17 -> 18 (Length: 2)
Graph: n25-1 | Drawing: C | Stress: 0.8 | Size: 25 | Path: 17 -> 18 (Length: 2)
