Graph: n50-3 | Drawing: A | Stress: 0.4 | Size: 50 | Path: 14 -> 46 (Length: 2)
Graph: n50-3 | Drawing: B | Stress: 0.4 | Size: 50 | Path: 14 -> 46 (Length: 2)
Graph: n50-3 | Drawing: C | Stress: 0.4 | Size: 50 | Path: 14 -> 46 (Length: 2)
Graph: n50-3 | Drawing: A | Stress: 0.45 | Size: 50 | Path: 19 -> 39 (Length: 3)
Graph: n50-3 | Drawing: B | Stress: 0.45 | Size: 50 | Path: 19 -> 39 (Length: 3)
Graph: n50-3 | Drawing: C | Stress: 0.45 | Size: 50 | Path: 19 -> 39 (Length: 3)
Graph: n50-3 | Drawing: A | Stress: 0.5 | Size: 50 | Path: 6 -> 17 (Length: 4)
Graph: n50-3 | Drawing: B | Stress: 0.5 | Size: 50 | Path: 6 -> 17 (Length: 4)
Graph: n50-3 | Drawing: C | Stress: 0.5 | Size: 50 | Path: 6 -> 17 (Length: 4)
Graph: n50-3 | Drawing: A | Stress: 0.55 | Size: 50 | Path: 24 -> 41 (Length: 5)
Graph: n50-3 | Drawing: B | Stress: 0.55 | Size: 50 | Path: 24 -> 41 (Length: 5)
Graph: n50-3 | Drawing: C | Stress: 0.55 | Size: 50 | Path: 24 -> 41 (Length: 5)
Graph: n50-3 | Drawing: A | Stress: 0.6 | Size: 50 | Path: 22 -> 36 (Length: 2)
Graph: n50-3 | Drawing: B | Stress: 0.6 | Size: 50 | Path: 22 -> 36 (Length: 2)
Graph: n50-3 | Drawing: C | Stress: 0.6 | Size: 50 | Path: 22 -> 36 (Length: 2)
Graph: n50-3 | Drawing: A | Stress: 0.65 | Size: 50 | Path: 19 -> 36 (Length: 3)
Graph: n50-3 | Drawing: B | Stress: 0.65 | Size: 50 | Path: 19 -> 36 (Length: 3)
Graph: n50-3 | Drawing: C | Stress: 0.65 | Size: 50 | Path: 19 -> 36 (Length: 3)
Graph: n50-3 | Drawing: A | Stress: 0.7 | Size: 50 | Path: 20 -> 38 (Length: 4)
Graph: n50-3 | Drawing: B | Stress: 0.7 | Size: 50 | Path: 20 -> 38 (Length: 4)
Graph: n50-3 | Drawing: C | Stress: 0.7 | Size: 50 | Path: 20 -> 38 (Length: 4)
Graph: n50-3 | Drawing: A | Stress: 0.75 | Size: 50 | Path: 9 -> 44 (Length: 5)
Graph: n50-3 | Drawing: B | Stress: 0.75 | Size: 50 | Path: 9 -> 44 (Length: 5)
Graph: n50-3 | Drawing: C | Stress: 0.75 | Size: 50 | Path: 9 -> 44 (Length: 5)
Graph: n50-3 | Drawing: A | Stress: 0.8 | Size: 50 | Path: 31 -> 33 (Length: 2)
Graph: n50-3 | Drawing: B | Stress: 0.8 | Size: 50 | Path: 31 -> 33 (Length: 2)
Graph: n50-3 | Drawing: C | Stress: 0.8 | Size: 50 | Path: 31 -> 33 (Length: 2)
