Graph: n10-1 | Drawing: A | Stress: 0.4 | Size: 10 | Path: 0 -> 1 (Length: 2)
Graph: n10-1 | Drawing: B | Stress: 0.4 | Size: 10 | Path: 0 -> 1 (Length: 2)
Graph: n10-1 | Drawing: C | Stress: 0.4 | Size: 10 | Path: 0 -> 1 (Length: 2)
Graph: n10-1 | Drawing: A | Stress: 0.45 | Size: 10 | Path: 7 -> 8 (Length: 3)
Graph: n10-1 | Drawing: B | Stress: 0.45 | Size: 10 | Path: 7 -> 8 (Length: 3)
Graph: n10-1 | Drawing: C | Stress: 0.45 | Size: 10 | Path: 7 -> 8 (Length: 3)
Graph: n10-1 | Drawing: A | Stress: 0.5 | Size: 10 | Path: 0 -> 7 (Length: 4)
Graph: n10-1 | Drawing: B | Stress: 0.5 | Size: 10 | Path: 0 -> 7 (Length: 4)
Graph: n10-1 | Drawing: C | Stress: 0.5 | Size: 10 | Path: 0 -> 7 (Length: 4)
Graph: n10-1 | Drawing: A | Stress: 0.55 | Size: 10 | Path: 0 -> 6 (Length: 2)
Graph: n10-1 | Drawing: B | Stress: 0.55 | Size: 10 | Path: 0 -> 6 (Length: 2)
Graph: n10-1 | Drawing: C | Stress: 0.55 | Size: 10 | Path: 0 -> 6 (Length: 2)
Graph: n10-1 | Drawing: A | Stress: 0.6 | Size: 10 | Path: 1 -> 3 (Length: 3)
Graph: n10-1 | Drawing: B | Stress: 0.6 | Size: 10 | Path: 1 -> 3 (Length: 3)
Graph: n10-1 | Drawing: C | Stress: 0.6 | Size: 10 | Path: 1 -> 3 (Length: 3)
Graph: n10-1 | Drawing: A | Stress: 0.65 | Size: 10 | Path: 3 -> 7 (Length: 4)
Graph: n10-1 | Drawing: B | Stress: 0.65 | Size: 10 | Path: 3 -> 7 (Length: 4)
Graph: n10-1 | Drawing: C | Stress: 0.65 | Size: 10 | Path: 3 -> 7 (Length: 4)
Graph: n10-1 | Drawing: A | Stress: 0.7 | Size: 10 | Path: 2 -> 8 (Length: 2)
Graph: n10-1 | Drawing: B | Stress: 0.7 | Size: 10 | Path: 2 -> 8 (Length: 2)
Graph: n10-1 | Drawing: C | Stress: 0.7 | Size: 10 | Path: 2 -> 8 (Length: 2)
Graph: n10-1 | Drawing: A | Stress: 0.75 | Size: 10 | Path: 4 -> 5 (Length: 3)
Graph: n10-1 | Drawing: B | Stress: 0.75 | Size: 10 | Path: 4 -> 5 (Length: 3)
Graph: n10-1 | Drawing: C | Stress: 0.75 | Size: 10 | Path: 4 -> 5 (Length: 3)
Graph: n10-1 | Drawing: A | Stress: 0.8 | Size: 10 | Path: 4 -> 9 (Length: 2)
Graph: n10-1 | Drawing: B | Stress: 0.8 | Size: 10 | Path: 4 -> 9 (Length: 2)
Graph: n10-1 | Drawing: C | Stress: 0.8 | Size: 10 | Path: 4 -> 9 (Length: 2)
